Class,Family,Genus,Species,BodyMass,Invader_NZ
Mammal,Tenrecidae,Microgale,brevicaudata,11.3,0
Mammal,Tenrecidae,Microgale,nasoloi,13.83,0
Mammal,Tenrecidae,Oryzorictes,hova,36.5,0
Mammal,Tenrecidae,Oryzorictes,tetradactylus,36,0
Mammal,Tenrecidae,Micropotamogale,lamottei,69.6,0
Mammal,Tenrecidae,Micropotamogale,ruwenzorii,98.5,0
Mammal,Tenrecidae,Potamogale,velox,659.99,0
Mammal,Tenrecidae,Echinops,telfairi,180,0
Mammal,Tenrecidae,Hemicentetes,semispinosus,137.8,0
Mammal,Tenrecidae,Hemicentetes,nigriceps,102.99,0
Mammal,Tenrecidae,Setifer,setosus,294,0
Mammal,Tenrecidae,Tenrec,ecaudatus,868,0
Mammal,Chrysochloridae,Carpitalpa,arendsi,52.34,0
Mammal,Chrysochloridae,Chlorotalpa,duthieae,49.7,0
Mammal,Chrysochloridae,Chlorotalpa,sclateri,41,0
Mammal,Chrysochloridae,Chrysochloris,asiatica,49,0
Mammal,Chrysochloridae,Chrysochloris,visagiei,30,0
Mammal,Chrysochloridae,Chrysochloris,stuhlmanni,39.8,0
Mammal,Chrysochloridae,Chrysospalax,trevelyani,426.5,0
Mammal,Chrysochloridae,Chrysospalax,villosus,119.88,0
Mammal,Chrysochloridae,Cryptochloris,zyli,25,0
Mammal,Chrysochloridae,Cryptochloris,wintoni,25,0
Mammal,Chrysochloridae,Eremitalpa,granti,26.1,0
Mammal,Chrysochloridae,Amblysomus,corriae,52.6,0
Mammal,Chrysochloridae,Amblysomus,hottentotus,52.6,0
Mammal,Chrysochloridae,Amblysomus,marleyi,52.6,0
Mammal,Chrysochloridae,Amblysomus,robustus,52.6,0
Mammal,Chrysochloridae,Amblysomus,septentrionalis,52.6,0
Mammal,Chrysochloridae,Calcochloris,obtusirostris,24.05,0
Mammal,Chrysochloridae,Calcochloris,leucorhinus,49.7,0
Mammal,Chrysochloridae,Calcochloris,tytonis,49.7,0
Mammal,Chrysochloridae,Neamblysomus,julianae,21.99,0
Mammal,Chrysochloridae,Neamblysomus,gunningi,35.84,0
Mammal,Macroscelididae,Elephantulus,rupestris,66.4,0
Mammal,Macroscelididae,Elephantulus,brachyrhynchus,47.5,0
Mammal,Macroscelididae,Elephantulus,edwardii,48,0
Mammal,Macroscelididae,Elephantulus,fuscipes,57,0
Mammal,Macroscelididae,Elephantulus,fuscus,52.56,0
Mammal,Macroscelididae,Elephantulus,intufi,49.5,0
Mammal,Macroscelididae,Elephantulus,myurus,52.4,0
Mammal,Macroscelididae,Elephantulus,revoili,32.5,0
Mammal,Macroscelididae,Elephantulus,rozeti,48,0
Mammal,Macroscelididae,Elephantulus,rufescens,37.5,0
Mammal,Macroscelididae,Macroscelides,proboscideus,38.2,0
Mammal,Macroscelididae,Petrodromus,tetradactylus,187.5,0
Mammal,Macroscelididae,Rhynchocyon,chrysopygus,540,0
Mammal,Macroscelididae,Rhynchocyon,cirnei,490,0
Mammal,Macroscelididae,Rhynchocyon,petersi,424,0
Mammal,Orycteropodidae,Orycteropus,afer,52350.4,0
Mammal,Procaviidae,Dendrohyrax,arboreus,2949.99,0
Mammal,Procaviidae,Dendrohyrax,dorsalis,3175,0
Mammal,Procaviidae,Heterohyrax,brucei,2625,0
Mammal,Procaviidae,Procavia,capensis,3029.98,0
Mammal,Elephantidae,Elephas,maximus,2915040,0
Mammal,Elephantidae,Loxodonta,africana,3940034.28,0
Mammal,Elephantidae,Loxodonta,cyclotis,4750000.01,0
Mammal,Dugongidae,Dugong,dugon,310000,0
Mammal,Trichechidae,Trichechus,inunguis,480000,0
Mammal,Trichechidae,Trichechus,manatus,433333,0
Mammal,Trichechidae,Trichechus,senegalensis,454000,0
Mammal,Dasypodidae,Dasypus,septemcinctus,1526.65,0
Mammal,Dasypodidae,Dasypus,yepesi,2785.87,0
Mammal,Dasypodidae,Dasypus,sabanicola,1150.01,0
Mammal,Dasypodidae,Dasypus,pilosus,4444.98,0
Mammal,Dasypodidae,Dasypus,novemcinctus,4203.78,0
Mammal,Dasypodidae,Dasypus,kappleri,9500,0
Mammal,Dasypodidae,Dasypus,hybridus,1500,0
Mammal,Dasypodidae,Calyptophractus,retusus,129.99,0
Mammal,Dasypodidae,Chaetophractus,nationi,2150.01,0
